O-01,,,,
O-06,,,,
Q-05,,,,
S-04,,,,
S-09,,,,
T-03,,,,
X-04,,,,
X-09,,,,
X-14,,,,
X-24,,,,
F-06,BACK UP LIGHT SWITCH,"Sumitomo, Yazaki",7123-2115-30,https://www.corsa-technic.com/item.php?item_id=836&category_id=124
I1-01,PANEL LAMP CONTROL SWITCH,"Sumitomo, Yazaki",7123-1360,https://www.corsa-technic.com/item.php?item_id=913&page=2&category_id=129
G-04,HEATER CONTROL UNIT,Tyco/AMP,Unknown,https://www.corsa-technic.com/item.php?item_id=1412&category_id=130
J-02,DOOR SPEAKER LH,"Sumitomo, Yazaki",6111-2568,https://www.corsa-technic.com/item.php?item_id=358&category_id=125
I2-03,INTERIOR LAMP RH,"Sumitomo, Yazaki",6111-2557,https://www.corsa-technic.com/item.php?item_id=345&category_id=126
X-19,CONNECTOR BETWEEN FRONT (F) & INSTURMENT PANEL,Tyco/AMP,174933-1,https://www.corsa-technic.com/item.php?item_id=890&category_id=155
G-09,BLOWER MOTOR,"Sumitomo, Yazaki",6111-2568,https://www.corsa-technic.com/item.php?item_id=358&category_id=125
F-07,,,,
H-05,,,,
I2-04,,,,
I2-09,,,,
J-08,,,,
O-02,,,,
O-07,,,,
Q-O1,,,,
S-05,,,,
S-10,,,,
U-01,,,,
X-05,,,,
X-10,,,,
X-15,,,,
X-20,,,,
X-25,,,,
E1-03,HEADLIGHT RELAY,"Sumitomo, Yazaki",6111-2010,https://www.corsa-technic.com/item.php?item_id=363&category_id=127
E4-04,FRONT TURN SIGNAL LIGHT RH,Tyco/AMP,2822390-1,https://www.corsa-technic.com/item.php?item_id=550&category_id=126
E4-03,FRONT TURN SIGNAL LIGHT LH,Tyco/AMP,2822390-1,https://www.corsa-technic.com/item.php?item_id=550&category_id=126
G-05,INSTRUMENT PANEL (I) & BLOWER UNIT,"Sumitomo, Yazaki", 7123-2249-30,https://www.corsa-technic.com/item.php?item_id=363&category_id=127
B1-02,MAIN RELAY: IN THE RELAY & MAIN FUSE BLOCK,"Sumitomo, Yazaki", 7123-2249-30,https://www.corsa-technic.com/item.php?item_id=363&category_id=127
B1-04,SOLENOID VALVE (PURGE),Tyco/AMP,344276-1,https://www.corsa-technic.com/item.php?item_id=1228&category_id=125
B1-05,SOLENOID VALVE (ISC [IAC]),Tyco/AMP,344276-1,https://www.corsa-technic.com/item.php?item_id=1228&category_id=125
B1-14,POWER STEERING PRESSURE SWITCH,Generic,4mm bullet,https://www.corsa-technic.com/item.php?item_id=411&category_id=124
E1-08,RETRACTABLE HEADLIGHT SWITCH,Tyco/AMP,172495-1,https://www.corsa-technic.com/item.php?item_id=1142&category_id=177
E1-10,FRONT FOG LIGHT SWITCH,"Sumitomo, Yazaki",7123-2165-30,https://www.corsa-technic.com/item.php?item_id=365&category_id=129
E4-06,TAILLIGHT RH,"Sumitomo, Yazaki",6111-2008,https://www.corsa-technic.com/item.php?item_id=365&category_id=129
E4-05,TAILLIGHT LH,"Sumitomo, Yazaki",6111-2008,https://www.corsa-technic.com/item.php?item_id=365&category_id=129
I1-02,HEATER CONTROL SWITCH ILLUMI,"Sumitomo, Yazaki",7123-2128-30,https://www.corsa-technic.com/item.php?item_id=358&page=1&category_id=125
J-03,DOOR SPEAKER RH,"Sumitomo, Yazaki",6111-2568 ,https://www.corsa-technic.com/item.php?item_id=358&category_id=125
G-10,BLOWER MOTOR RELAY,"Sumitomo, Yazaki",6111-2008 ,https://www.corsa-technic.com/item.php?item_id=365&category_id=129
B3-02,WATER THERMOSWITCH (FAN) ,Sumitomo,1P090WP,https://easternbeaver.com/Main/Elec__Products/Connectors/Sealed/SMDL/smdl.html
